DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
230614679,08/31/2023 12:00:00 AM,08/30/2023 12:00:00 AM,2000,6,Hollywood,666,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1822 1300,44,M,K,101,STREET,,,IC,Invest Cont,745.0,,,,FOUNTAIN                     AV,VINE                         ST,34.0944,-118.3266
230814415,09/09/2023 12:00:00 AM,09/08/2023 12:00:00 AM,2153,8,West LA,842,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0344 0346,0,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740.0,,,,1400    COLBY                        AV,,34.0478,-118.4553
230313708,07/17/2023 12:00:00 AM,07/17/2023 12:00:00 AM,1545,3,Southwest,318,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510.0,,,,2300 S  HOOVER                       ST,,34.0348,-118.2876
230706666,03/03/2023 12:00:00 AM,03/03/2023 12:00:00 AM,810,7,Wilshire,705,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 1218 0416 2004,51,M,H,103,ALLEY,308.0,STICK,IC,Invest Cont,230.0,,,,LA BREA,OAKWOOD,34.0846,-118.3464
230116525,07/22/2023 12:00:00 AM,07/20/2023 12:00:00 AM,1845,1,Central,161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 0352,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442.0,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
231412753,06/21/2023 12:00:00 AM,06/21/2023 12:00:00 AM,1800,14,Pacific,1467,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,75,F,W,148,PUBLIC RESTROOM/OUTSIDE*,,,IC,Invest Cont,341.0,,,,7100 S  SEPULVEDA                    BL,,33.976,-118.394
230808601,04/25/2023 12:00:00 AM,02/07/2023 12:00:00 AM,630,8,West LA,889,1,510,VEHICLE - STOLEN,,0,,,104,DRIVEWAY,,,IC,Invest Cont,510.0,,,,1900 S  CORNING                      ST,,34.0432,-118.3797
230614268,08/23/2023 12:00:00 AM,08/23/2023 12:00:00 AM,1815,6,Hollywood,677,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 1300 0344 0342,50,F,H,222,LAUNDROMAT,,,IC,Invest Cont,341.0,,,,5900    SANTA MONICA                 BL,,34.0908,-118.3179
230910309,06/07/2023 12:00:00 AM,06/02/2023 12:00:00 AM,1900,9,Van Nuys,923,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510.0,,,,VANOWEN                      ST,VESPER                       AV,34.1939,-118.4509
230609688,05/12/2023 12:00:00 AM,05/12/2023 12:00:00 AM,1350,6,Hollywood,645,2,624,BATTERY - SIMPLE ASSAULT,1251 1815 0913 0400 0448 2024 1259,16,M,H,721,HIGH SCHOOL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,624.0,,,,1500 N  HIGHLAND                     AV,,34.1006,-118.3417
231913095,08/16/2023 12:00:00 AM,08/07/2023 12:00:00 AM,1700,19,Mission,1954,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0913 0416 1258 0552,11,M,H,501,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,627.0,,,,10000    MEMORY PARK                  AV,,34.2523,-118.464
231113310,09/11/2023 12:00:00 AM,09/10/2023 12:00:00 AM,840,11,Northeast,1142,2,354,THEFT OF IDENTITY,0922 0930 1822,44,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,4600    PROSPECT                     AV,,34.1096,-118.2884
230611267,06/15/2023 12:00:00 AM,06/14/2023 12:00:00 AM,1805,6,Hollywood,627,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1300 0344,48,M,W,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,440.0,,,,3000    HOLLYRIDGE                   DR,,34.1237,-118.3185
231404532,01/15/2023 12:00:00 AM,01/14/2023 12:00:00 AM,1600,14,Pacific,1463,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,57,M,H,108,PARKING LOT,,,IC,Invest Cont,740.0,,,,12900 W  JEFFERSON                    BL,,33.9805,-118.4111
230611159,06/14/2023 12:00:00 AM,06/13/2023 12:00:00 AM,1800,6,Hollywood,656,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510.0,,,,ROMAINE                      ST,LILLIAN                      WY,34.0889,-118.3277
230304391,01/08/2023 12:00:00 AM,01/08/2023 12:00:00 AM,8,3,Southwest,363,2,354,THEFT OF IDENTITY,1822 0100 0922 0930,43,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,4100    PALMWOOD                     DR,,34.0137,-118.3435
231411628,06/01/2023 12:00:00 AM,05/29/2023 12:00:00 AM,2000,14,Pacific,1475,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0359 0361 0421,47,F,W,101,STREET,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,8300    CREIGHTON                    AV,,33.9634,-118.4128
231007923,04/12/2023 12:00:00 AM,04/12/2023 12:00:00 AM,1220,10,West Valley,1004,1,310,BURGLARY,1822 0344 1609 0321,60,M,A,501,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310.0,,,,7700    DARBY                        AV,,34.2114,-118.5336
231610637,08/01/2023 12:00:00 AM,07/28/2023 12:00:00 AM,2015,16,Foothill,1695,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385 1300,33,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,331.0,,,,11100    LULL                         ST,,34.2093,-118.3725
231813188,07/10/2023 12:00:00 AM,07/10/2023 12:00:00 AM,1110,18,Southeast,1824,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1402 1300 1822,0,X,X,801,MTA BUS,,,IC,Invest Cont,740.0,998.0,,,CENTRAL,105TH                        ST,33.947,-118.2594
